Alytes obstetricans
Bombina bombina
Bombina orientalis
Bufo bufo
Bufotes viridis
Ceratophrys ornata
Cynops pyrrhogaster
Eleutherodactylus coqui
Eleutherodactylus planirostris
Epidalea calamita
Epipedobates tricolor
Hyla arborea
Ichthyosaura alpestris
Lissotriton vulgaris
Lithobates catesbeianus
Litoria caerulea
Osteopilus septentrionalis
Pelobates fuscus
Pelophylax bedriagae
Pelophylax esculentus
Pelophylax kurtmuelleri
Pelophylax lessonae
Pelophylax ridibundus
Rana arvalis
Rana dalmatina
Rana temporaria
Rhinella marina
Salamandra salamandra
Trachycephalus resinifictrix
Triturus carnifex
Triturus cristatus
Xenopus laevis
