Litoria caerulea
Pelophylax bedriagae
Triturus carnifex
Alytes obstetricans
Cynops pyrrhogaster
Lissotriton vulgaris
Eleutherodactylus coqui
Rana dalmatina
Bufotes viridis
Epipedobates tricolor
Rana arvalis
Rana temporaria
Pelophylax kurtmuelleri
Bombina bombina
Rhinella marina
Pelobates fuscus
Osteopilus septentrionalis
Triturus cristatus
Epidalea calamita
Ceratophrys ornata
Pelophylax ridibundus
Ichthyosaura alpestris
Bufo bufo
Hyla arborea
Bombina orientalis
Pelophylax lessonae
Lithobates catesbeianus
Eleutherodactylus planirostris
Salamandra salamandra
Trachycephalus resinifictrix
Ranoidea caerulea
Xenopus laevis
Pelophylax esculentus
