Alytes obstetricans; 8443; Alytes obstetricans; Eukaryota;Chordata;Amphibia;Anura;Alytidae;Alytes;Alytes_obstetricans
Bombina bombina; 8345; Bombina bombina; Eukaryota;Chordata;Amphibia;Anura;Bombinatoridae;Bombina;Bombina_bombina
Bombina orientalis; 8346; Bombina orientalis; Eukaryota;Chordata;Amphibia;Anura;Bombinatoridae;Bombina;Bombina_orientalis
Bufotes viridis; 30338; Bufotes viridis; Eukaryota;Chordata;Amphibia;Anura;Bufonidae;Bufotes;Bufotes_viridis
Ceratophrys ornata; 30347; Ceratophrys ornata; Eukaryota;Chordata;Amphibia;Anura;Ceratophryidae;Ceratophrys;Ceratophrys_ornata
Cynops pyrrhogaster; 8330; Cynops pyrrhogaster; Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Cynops;Cynops_pyrrhogaster
Bufo bufo; 8384; Bufo bufo; Eukaryota;Chordata;Amphibia;Anura;Bufonidae;Bufo;Bufo_bufo
Eleutherodactylus planirostris; 356180; Eleutherodactylus planirostris; Eukaryota;Chordata;Amphibia;Anura;Eleutherodactylidae;Eleutherodactylus;Eleutherodactylus_planirostris
Epipedobates tricolor; 92736; Epipedobates tricolor; Eukaryota;Chordata;Amphibia;Anura;Dendrobatidae;Epipedobates;Epipedobates_tricolor
Eleutherodactylus coqui; 57060; Eleutherodactylus coqui; Eukaryota;Chordata;Amphibia;Anura;Eleutherodactylidae;Eleutherodactylus;Eleutherodactylus_coqui
Epidalea calamita; 30326; Epidalea calamita; Eukaryota;Chordata;Amphibia;Anura;Bufonidae;Epidalea;Epidalea_calamita
Lissotriton vulgaris; 8324; Lissotriton vulgaris; Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Lissotriton;Lissotriton_vulgaris
Hyla arborea; 121869; Hyla arborea; Eukaryota;Chordata;Amphibia;Anura;Hylidae;Hyla;Hyla_arborea
Osteopilus septentrionalis; 317373; Osteopilus septentrionalis; Eukaryota;Chordata;Amphibia;Anura;Hylidae;Osteopilus;Osteopilus_septentrionalis
Lithobates catesbeianus; 8400; Aquarana catesbeiana; Eukaryota;Chordata;Amphibia;Anura;Ranidae;Aquarana;Aquarana_catesbeiana
Litoria caerulea; 30344; Pelodryas caerulea; Eukaryota;Chordata;Amphibia;Anura;Pelodryadidae;Pelodryas;Pelodryas_caerulea
Pelobates fuscus; 191477; Pelobates fuscus; Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Pelobates;Pelobates_fuscus
Ichthyosaura alpestris; 54263; Ichthyosaura alpestris; Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Ichthyosaura;Ichthyosaura_alpestris
Pelophylax bedriagae; 69489; Pelophylax bedriagae; Eukaryota;Chordata;Amphibia;Anura;Ranidae;Pelophylax;Pelophylax_bedriagae
Pelophylax kurtmuelleri; 73493; Pelophylax kurtmuelleri; Eukaryota;Chordata;Amphibia;Anura;Ranidae;Pelophylax;Pelophylax_kurtmuelleri
Pelophylax ridibundus; 8406; Pelophylax ridibundus; Eukaryota;Chordata;Amphibia;Anura;Ranidae;Pelophylax;Pelophylax_ridibundus
Rana arvalis; 156871; Rana arvalis; Eukaryota;Chordata;Amphibia;Anura;Ranidae;Rana;Rana_arvalis
Pelophylax lessonae; 45623; Pelophylax lessonae; Eukaryota;Chordata;Amphibia;Anura;Ranidae;Pelophylax;Pelophylax_lessonae
Rana dalmatina; 51331; Rana dalmatina; Eukaryota;Chordata;Amphibia;Anura;Ranidae;Rana;Rana_dalmatina
Rana temporaria; 8407; Rana temporaria; Eukaryota;Chordata;Amphibia;Anura;Ranidae;Rana;Rana_temporaria
Salamandra salamandra; 57571; Salamandra salamandra; Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Salamandra;Salamandra_salamandra
Rhinella marina; 8386; Rhinella marina; Eukaryota;Chordata;Amphibia;Anura;Bufonidae;Rhinella;Rhinella_marina
Trachycephalus resinifictrix; 318376; Trachycephalus resinifictrix; Eukaryota;Chordata;Amphibia;Anura;Hylidae;Trachycephalus;Trachycephalus_resinifictrix
Triturus cristatus; 8323; Triturus cristatus; Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Triturus;Triturus_cristatus
Triturus carnifex; 8326; Triturus carnifex; Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Triturus;Triturus_carnifex
Xenopus laevis; 8355; Xenopus laevis; Eukaryota;Chordata;Amphibia;Anura;Pipidae;Xenopus;Xenopus_laevis
