Eleutherodactylus coqui
Rana arvalis
Ceratophrys ornata
Epipedobates tricolor
Pelophylax kurtmuelleri
Lissotriton vulgaris
Rhinella marina
Trachycephalus resinifictrix
Triturus carnifex
Litoria caerulea
Bufotes viridis
Bufo bufo
Bombina bombina
Pelophylax lessonae
Pelophylax ridibundus
Osteopilus septentrionalis
Lithobates catesbeianus
Salamandra salamandra
Bombina orientalis
Pelophylax bedriagae
Cynops pyrrhogaster
Alytes obstetricans
Ichthyosaura alpestris
Eleutherodactylus planirostris
Hyla arborea
Rana dalmatina
Epidalea calamita
Rana temporaria
Xenopus laevis
Triturus cristatus
Pelobates fuscus
