Godiva quadricolor
Cercopagis pengoi
Prorocentrum gracile
Hexaplex trunculus
Wildemania miniata
Babka gymnotrachelus
Trieres regia
Zafra exilis
Ruditapes philippinarum
Veronica anagalloides
Scytosiphon dotyi
Bugula neritina
Xiphosiphonia pennata
Pomacanthus maculosus
Salvelinus fontinalis
Penaeus aztecus
Arachnidium lacourti
Acrothamnion preissii
Asclerocheilus ashworthi
Aedes albopictus
Acanthurus chirurgus
Pachygrapsus gracilis
Murchisonellidae
Palaemon longirostris
Azolla mexicana
Anguilla japonica
Beania maxilladentata
Dinophysis caudata
Aplus dorbignyi
Ludwigia peploides
Eusarsiella zostericola
Abudefduf sordidus
Aetea ligulata
Potamopyrgus antipodarum
Salvelinus namaycush
Aglaothamnion halliae
Gonionemus vertens
Proterorhinus nasalis
Distaplia bermudensis
Acanthurus tractus
Membranipora membranacea
Mytilicola intestinalis
Parasmittina multiaviculata
Corynophlaea cystophorae
Schizoporella errata
Rapana venosa
Vimba vimba
Didemnum perlucidum
Spartina versicolor
Calyptospadix cerulea
Labyrinthula zosterae
Watersipora subatra
Anguillicoloides crassus
Taeniastrotos
Aedes japonicus
Callinectes sapidus
Lemna minuta
Phycocalidia suborbiculata
Thalassiosira hendeyi
Pontederia cordata
Scolelepis bonnieri
Hydrocotyle ranunculoides
Oncorhynchus keta
Tadorna tadornoides
Pleurosigma simonsenii
Ostrea edulis
Bispira polyomma
Oxyura jamaicensis
Grateloupia doryphora
Namanereis littoralis
Sebastes schlegelii
Boccardia polybranchia
Boccardiella ligerica
Crangonyx pseudogracilis
Magallana rivularis
Pomacanthus paru
Microlipophrys velifer
Phoronis hippocrepia
Pyropia suborbiculata
Spirodela oligorrhiza
Lepidodinium chlorophorum
Dentex gibbosus
Clymenella torquata
Hypophthalmichthys molitrix
Laurencia dendroidea
Pseudodiaptomus marinus
Sigambra parva
Marenzelleria neglecta
Anguilla rostrata
Chiton cumingsii
Macromedaeus voeltzkowii
Pista unibranchia
Zostera japonica
Karenia mikimotoi
Lennoxia faveolata
Diamysis bahirensis
Ulva ohnoi
Paranthias furcifer
Sparus aurata
Abudefduf saxatilis
Aluterus scriptus
Hydroides elegans
Isolda pulchella
Marenzelleria arctia
Paracalanus quasimodo
Styela plicata
Boccardia pseudonatrix
Magallana sikamea
Ulva australis
Alexandrium tamarense
Dissodinium pseudocalani
Hippocampus algiricus
Caulibugula zanzibariensis
Umbra pygmaea
Chaetodon sanctaehelenae
Paractinia striata
Acipenser transmontanus
Syllis pectinans
Fibrocapsa japonica
Cordylophora caspia
Potamothrix vejdovskyi
Potamothrix bedoti
Mercenaria mercenaria
Steromphala cineraria
