Ballerus ballerus
Misgurnus multimaculatus
Trisopterus minutus
Scomber scombrus
Dipturus oxyrinchus
Pomatoschistus norvegicus
Eustomias dendriticus
Sebastes norvegicus
Entelurus aequoreus
Ponticola gorlap
Leucoraja fullonica
Gymnocanthus tricuspis
Ataxolepis apus
Gymnelus viridis
Argentina sphyraena
Cyprinella lutrensis
Pomatoschistus pictus
Brosme brosme
Alosa fallax
Silurus glanis
Pomatoschistus flavescens
Leptoclinus maculatus
Channa argus
Icelus spatula
Meteoria erythrops
Eustomias hulleyi
Cheilopogon heterurus
Schedophilus medusophagus
Eustomias paucifilis
Acipenser transmontanus
Howella brodiei
Boreogadus saida
Serranus hepatus
Esox lucius
Anarhichas lupus
Misgurnus chipisaniensis
Ceratias holboelli
Sprattus sprattus
Apristurus manis
Gymnammodytes semisquamatus
Labrus mixtus
Chlamydoselachus anguineus
Hypophthalmichthys nobilis
Eustomias dubius
Catostomus commersonii
Alosa alosa
Brotulotaenia brevicauda
Eutaeniophorus festivus
Oblada melanurus
Misgurnus buphoensis
Liparis tunicatus
Glossanodon leioglossus
Careproctus tapirus
Buenia jeffreysii
Xiphias gladius
Trigonolampa miriceps
Notacanthus bonaparte
Lycodes esmarkii
Eustomias radicifilis
Ammodytes marinus
Amblyraja jenseni
Zoarces viviparus
Liparis bathyarcticus
Eumicrotremus spinosus
Centroscymnus owstonii
Salvelinus alpinus
Myctophum punctatum
Magnisudis atlantica
Pagellus acarne
Neoscopelus microchir
Isurus paucus
Cyclothone microdon
Hyperoplus lanceolatus
Trisopterus esmarkii
Catostomus catostomus
Clupea pallasii
Cottus koshewnikowi
Chelon bandialensis
Syngnathus abaster
Ctenopharyngodon idella
Squalus acanthias
Lycenchelys sarsii
Melamphaes microps
Astronesthes oligoa
Mustelus asterias
Thymallus baicalensis
Eumicrotremus derjugini
Leuciscus cephalus
Perccottus glenii
Saccopharynx paucovertebratis
Polyprion americanus
Gorgasia inferomaculata
Careproctus ranula
Serrivomer beanii
Mola mola
Lampanyctus gemmifer
Barbus barbus
Lycodes pallidus
Chelon auratus
Caranx latus
Sarda sarda
Misgurnus anguillicaudatus
Squatina oculata
Heptranchias perlo
Pseudorasbora parva
Lycodes luetkenii
Etmopterus princeps
Coregonus megalops
Rhodeus amarus
Benthodesmus simonyi
Carcharhinus longimanus
Crystallogobius linearis
Gadus morhua
Misgurnus amamianus
Remora remora
Pleuronectes platessa
Coregonus maraena
Hippoglossoides platessoides
Zeus faber
Orcynopsis unicolor
Diplecogaster bimaculata
